,number,value,datetime_start,datetime_complete,duration,params_C,params_M,params_N,params_P,params_S,state
138,138,37.2,2023-12-06 11:28:48.290496,2023-12-06 11:29:16.011052,0 days 00:00:27.720556,0.0,0.1,,100,weighted choice,COMPLETE
139,139,38.4,2023-12-06 11:29:16.011262,2023-12-06 11:29:44.209343,0 days 00:00:28.198081,0.0,0.0,,50,roulette wheel,COMPLETE
140,140,43.2,2023-12-06 11:29:44.209533,2023-12-06 11:29:44.671889,0 days 00:00:00.462356,0.8,0.0,1.0,50,roulette wheel,COMPLETE
141,141,43.2,2023-12-06 11:29:44.672080,2023-12-06 11:29:44.859618,0 days 00:00:00.187538,0.95,0.0,2.0,100,roulette wheel,COMPLETE
142,142,38.4,2023-12-06 11:29:44.859841,2023-12-06 11:29:45.193090,0 days 00:00:00.333249,0.95,0.1,1.0,100,roulette wheel,COMPLETE
143,143,36.4,2023-12-06 11:29:45.193308,2023-12-06 11:29:45.708461,0 days 00:00:00.515153,0.5,0.33,4.0,10,roulette wheel,COMPLETE
144,144,43.6,2023-12-06 11:29:45.708660,2023-12-06 11:29:46.066119,0 days 00:00:00.357459,0.5,0.0,4.0,100,roulette wheel,COMPLETE
145,145,35.6,2023-12-06 11:29:46.066313,2023-12-06 11:29:46.381638,0 days 00:00:00.315325,0.95,0.0,2.0,50,random selection,COMPLETE
146,146,37.2,2023-12-06 11:29:46.381849,2023-12-06 11:29:46.974508,0 days 00:00:00.592659,0.5,0.5,1.0,50,roulette wheel,COMPLETE
147,147,36.8,2023-12-06 11:29:46.974707,2023-12-06 11:29:57.692826,0 days 00:00:10.718119,0.8,0.5,0.0,20,weighted choice,COMPLETE
148,148,36.8,2023-12-06 11:29:57.693019,2023-12-06 11:29:58.156447,0 days 00:00:00.463428,0.95,0.33,2.0,100,random selection,COMPLETE
149,149,38.8,2023-12-06 11:29:58.156629,2023-12-06 11:30:26.258263,0 days 00:00:28.101634,0.0,0.1,,100,weighted choice,COMPLETE
150,150,37.6,2023-12-06 11:30:26.258447,2023-12-06 11:30:43.710539,0 days 00:00:17.452092,0.0,0.33,,50,roulette wheel,COMPLETE
151,151,37.6,2023-12-06 11:30:43.710737,2023-12-06 11:30:44.199726,0 days 00:00:00.488989,0.6,0.33,4.0,20,random selection,COMPLETE
152,152,40.0,2023-12-06 11:30:44.199922,2023-12-06 11:30:44.562028,0 days 00:00:00.362106,0.8,0.01,4.0,20,roulette wheel,COMPLETE
153,153,43.6,2023-12-06 11:30:44.562230,2023-12-06 11:30:45.474268,0 days 00:00:00.912038,0.5,0.0,1.0,100,weighted choice,COMPLETE
154,154,37.6,2023-12-06 11:30:45.474466,2023-12-06 11:30:45.828083,0 days 00:00:00.353617,0.6,0.1,1.0,10,roulette wheel,COMPLETE
155,155,37.6,2023-12-06 11:30:45.828282,2023-12-06 11:30:50.198479,0 days 00:00:04.370197,0.0,0.01,,20,random selection,COMPLETE
156,156,40.8,2023-12-06 11:30:50.198668,2023-12-06 11:30:50.565444,0 days 00:00:00.366776,0.95,0.01,1.0,50,weighted choice,COMPLETE
